1,4.0,Bangla
2,2.75,Bangla
3,2.75,Bangla
4,3.75,Bangla
5,3.5,Bangla
6,3.75,Bangla
7,4.0,Bangla
8,2.5,Bangla
9,3.25,Bangla
10,3.0,Bangla
11,3.75,Bangla
12,3.0,Bangla
13,3.0,Bangla
14,4.0,Bangla
15,3.5,Bangla
16,3.0,Bangla
17,2.5,Bangla
18,2.5,Bangla
19,3.75,Bangla
20,2.75,Bangla
21,3.0,Bangla
22,3.5,Bangla
23,3.0,Bangla
24,3.0,Bangla
25,3.5,Bangla
26,3.5,Bangla
27,2.75,Bangla
28,2.75,Bangla
29,3.25,Bangla
30,3.75,Bangla
31,4.0,Bangla
32,3.0,Bangla
33,3.25,Bangla
34,3.5,Bangla
35,2.25,Bangla
36,3.0,Bangla
37,2.25,Bangla
38,3.25,Bangla
39,3.25,Bangla
40,3.25,Bangla
41,3.25,Bangla
42,3.25,Bangla
43,3.0,Bangla
44,3.5,Bangla
45,2.75,Bangla
46,2.75,Bangla
47,3.0,Bangla
48,3.0,Bangla
49,4.0,Bangla
50,3.25,Bangla
51,3.0,Bangla
52,3.0,Bangla
53,3.5,Bangla
54,3.0,Bangla
55,2.5,Bangla
56,2.75,Bangla
57,3.25,Bangla
58,3.5,Bangla
59,3.75,Bangla
60,3.0,Bangla
61,2.75,Bangla
62,3.0,Bangla
63,2.25,Bangla
64,2.0,Bangla
65,2.5,Bangla
66,3.0,Bangla
67,2.5,Bangla
68,3.75,Bangla
69,2.75,Bangla
70,2.5,Bangla
71,2.5,Bangla
72,3.0,Bangla
73,3.5,Bangla
74,3.0,Bangla
75,2.75,Bangla
76,3.0,Bangla
77,2.75,Bangla
78,3.5,Bangla
79,3.0,Bangla
80,3.0,Bangla
81,3.0,Bangla
82,3.25,Bangla
83,3.75,Bangla
84,2.75,Bangla
85,2.75,Bangla
86,2.75,Bangla
87,3.25,Bangla
88,2.0,Bangla
89,3.0,Bangla
90,2.5,Bangla
91,3.0,Bangla
92,3.0,Bangla
93,3.5,Bangla
94,3.25,Bangla
95,3.0,Bangla
96,3.0,Bangla
97,2.75,Bangla
98,3.25,Bangla
99,3.0,Bangla
100,3.75,Bangla
101,3.5,Bangla
102,3.25,Bangla
103,3.5,Bangla
104,3.5,Bangla
105,0.0,Bangla
106,3.5,Bangla
107,3.25,Bangla
108,2.75,Bangla
109,2.5,Bangla
110,2.5,Bangla
111,3.5,Bangla
112,3.0,Bangla
113,3.75,Bangla
114,2.25,Bangla
115,2.75,Bangla
116,2.5,Bangla
117,3.25,Bangla
118,3.75,Bangla
119,2.75,Bangla
120,3.25,Bangla
121,2.0,Bangla
122,2.5,Bangla
123,0.0,Bangla
124,2.0,Bangla
125,3.25,Bangla
126,2.25,Bangla
1,3.0,English
2,3.0,English
3,3.0,English
4,2.5,English
5,2.75,English
6,3.0,English
7,2.5,English
8,3.0,English
9,2.5,English
10,3.0,English
11,2.5,English
12,2.75,English
13,3.25,English
14,2.75,English
15,2.75,English
16,3.25,English
17,2.75,English
18,2.75,English
19,2.25,English
20,3.25,English
21,3.0,English
22,2.75,English
23,3.25,English
24,3.25,English
25,3.0,English
26,3.0,English
27,2.25,English
28,3.25,English
29,2.75,English
30,3.0,English
31,3.0,English
32,3.25,English
33,3.25,English
34,3.0,English
35,2.75,English
36,2.5,English
37,3.0,English
38,3.0,English
39,2.5,English
40,3.0,English
41,2.75,English
42,2.25,English
43,3.0,English
44,3.25,English
45,3.0,English
46,3.5,English
47,2.75,English
48,3.0,English
49,2.75,English
50,2.75,English
51,2.5,English
52,3.0,English
53,2.75,English
54,2.5,English
55,3.0,English
56,3.5,English
57,2.5,English
58,2.0,English
59,3.0,English
60,3.25,English
61,2.75,English
62,2.5,English
63,2.5,English
64,2.5,English
65,2.75,English
66,3.0,English
67,3.0,English
68,2.75,English
69,3.25,English
70,3.0,English
71,2.75,English
72,2.25,English
73,2.75,English
74,2.75,English
75,2.75,English
76,3.25,English
77,2.5,English
78,3.25,English
79,2.5,English
80,2.75,English
81,3.0,English
82,2.75,English
83,2.5,English
84,2.5,English
85,2.25,English
86,2.75,English
87,2.75,English
88,3.0,English
89,2.5,English
90,2.75,English
91,3.0,English
92,2.5,English
93,2.5,English
94,2.5,English
95,2.75,English
96,3.0,English
97,2.5,English
98,3.25,English
99,3.0,English
100,2.5,English
101,2.5,English
102,2.75,English
103,2.75,English
104,2.75,English
105,2.75,English
106,2.75,English
107,2.75,English
108,2.75,English
109,2.5,English
110,2.75,English
111,2.75,English
112,3.0,English
113,2.75,English
114,2.5,English
115,2.5,English
116,2.5,English
117,2.75,English
118,2.5,English
119,2.25,English
120,2.5,English
121,3.0,English
122,2.0,English
123,2.0,English
124,2.5,English
125,2.0,English
126,2.0,English
1,2.5,Botany
2,3.0,Botany
3,3.0,Botany
4,3.0,Botany
5,3.25,Botany
6,2.25,Botany
7,3.0,Botany
8,3.0,Botany
9,2.75,Botany
10,2.75,Botany
11,2.75,Botany
12,2.5,Botany
13,2.75,Botany
14,2.75,Botany
15,2.25,Botany
16,2.75,Botany
17,2.25,Botany
18,2.5,Botany
19,3.0,Botany
20,2.5,Botany
21,2.75,Botany
22,2.5,Botany
23,2.75,Botany
24,2.25,Botany
25,2.5,Botany
26,2.5,Botany
27,2.75,Botany
28,2.5,Botany
29,2.25,Botany
30,2.75,Botany
31,0.0,Botany
32,2.5,Botany
33,2.5,Botany
34,2.75,Botany
35,2.5,Botany
36,2.5,Botany
37,2.75,Botany
38,2.25,Botany
39,3.0,Botany
40,2.5,Botany
41,0.0,Botany
42,2.5,Botany
43,2.25,Botany
44,2.25,Botany
45,2.5,Botany
46,2.25,Botany
47,2.5,Botany
48,2.5,Botany
49,2.75,Botany
50,2.75,Botany
51,3.0,Botany
52,2.75,Botany
53,2.75,Botany
